# vC2 대본 · 자막 9줄

훅 없음 — 0~2.6s 는 「이」→「이상하다.」→「이상하다..」 **타이핑 연출**이라 SRT 로는 세 줄로 나뉜다.
`*별표*` 구간은 **주사색 형광 배경 + 흰 글씨**였다(색 글씨로 하면 촛불 배경에 묻힌다 — 2번 실패 후 확정).
형광 단어: 묻기도 전에 읽는다 / 명운록 / 여덟 글자 / 돈이 들어오는 달 / 돌려보냈단다
소리 원래 없음(무음판이 본판). CTA 「산군에게 장부 받기 >」는 14.4s 부터 1.2s 주기로 깜빡인다.

| # | 시작 | 끝 | 자막 | 정점 |
|---:|---:|---:|---|---|
| 1 | 0.00s | 0.35s | 이 |  |
| 2 | 0.35s | 0.75s | 이상하다. |  |
| 3 | 0.75s | 2.65s | 이상하다.. |  |
| 4 | 1.20s | 2.65s | 묻기도 전에 읽는다 |  |
| 5 | 2.60s | 5.60s | 명운록이라고, / 얼굴 없는 박수가 있단다. |  |
| 6 | 5.60s | 8.80s | 사람마다 여덟 글자로 적힌 / 장부가 있단다. |  |
| 7 | 8.80s | 11.80s | 돈이 들어오는 달이 보이면 / 그 달만 짚어 준단다. |  |
| 8 | 11.80s | 14.70s | 좋은 말만 듣고 싶은 사람은 / 돌려보냈단다. |  |
| 9 | 15.25s | 20.00s | 생년월일만 넣으면 먼저 무료로 몇 줄 |  |
